provider,schaal,tarief,rate_key,rate_value,source_file,source_week
flexspecialisten,B4,C,135,42.28,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,B4,C,180,30.15,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,B4,C,200,59.25,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,B4,C,300,85.36,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A4,C,100,31.95,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A4,C,133,40.21,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A4,C,135,40.71,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A4,C,180,28.89,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A4,C,200,56.97,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A4,C,300,81.99,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A2,C,100,31.3,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A2,C,133,39.35,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A2,C,135,39.84,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A2,C,180,28.2,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A2,C,200,55.71,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A2,C,300,80.13,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A5,C,100,32.3,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A5,C,133,40.66,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A5,C,135,41.16,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A5,C,180,29.26,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A5,C,200,57.63,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A5,C,300,82.96,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,D1,C,100,33.47,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,D1,C,133,42.19,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,D1,C,135,42.71,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,D1,C,180,30.5,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,D1,C,200,59.88,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,D1,C,300,86.28,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C2,C,100,33.08,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C2,C,133,41.67,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C2,C,135,42.19,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C2,C,180,30.08,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C2,C,200,59.12,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C2,C,300,85.16,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C1,B,100,34.0,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C1,B,133,42.95,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C1,B,135,43.49,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C1,B,180,31.55,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C1,B,200,61.11,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C1,B,300,88.22,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A1,B,100,32.19,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A1,B,133,40.59,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A1,B,135,41.1,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A1,B,180,29.61,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A1,B,200,57.64,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A1,B,300,83.08,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A0,C,100,31.85,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A0,C,133,40.14,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A0,C,135,40.65,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A0,C,180,29.24,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A0,C,200,56.98,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A0,C,300,82.11,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A1,A,100,32.19,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A1,A,133,40.59,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A1,A,135,41.1,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A1,A,180,29.61,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A1,A,200,57.64,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A1,A,300,83.08,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C0,A,100,33.61,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C0,A,133,42.43,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C0,A,135,42.97,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C0,A,180,31.12,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C0,A,200,60.35,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C0,A,300,84.27,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C0,C,100,33.61,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C0,C,133,42.43,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C0,C,135,42.97,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C0,C,180,31.12,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C0,C,200,60.35,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C0,C,300,84.27,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A0,A,100,31.85,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A0,A,133,40.14,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A0,A,135,40.65,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A0,A,180,29.24,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A0,A,200,56.98,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A0,A,300,82.11,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A2,A,100,32.56,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A2,A,133,41.06,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A2,A,135,41.58,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A2,A,180,30.0,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A2,A,200,58.33,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,A2,A,300,84.11,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C1,A,100,34.0,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C1,A,133,42.95,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C1,A,135,43.49,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C1,A,180,31.55,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C1,A,200,61.11,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C1,A,300,88.22,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
